Datetime,Open,High,Low,Close,Volume
2020-05-29 12:09:00-04:00,181.6999969482422,181.6999969482422,181.52999877929688,181.6300048828125,47724
2020-05-29 12:10:00-04:00,181.6199951171875,181.73240661621094,181.6199951171875,181.71270751953125,36006
2020-05-29 12:11:00-04:00,181.7050018310547,181.7050018310547,181.55999755859375,181.66009521484375,28908
2020-05-29 12:12:00-04:00,181.67269897460938,181.72999572753906,181.6699981689453,181.6999969482422,26745
2020-05-29 12:13:00-04:00,181.7100067138672,181.72000122070312,181.6199951171875,181.7100067138672,26855
2020-05-29 12:14:00-04:00,181.70159912109375,181.7050018310547,181.53109741210938,181.55999755859375,31960
2020-05-29 12:15:00-04:00,181.55999755859375,181.55999755859375,181.25,181.27999877929688,47591
2020-05-29 12:16:00-04:00,181.2899932861328,181.36000061035156,181.22999572753906,181.24000549316406,34331
2020-05-29 12:17:00-04:00,181.25,181.25,181.05499267578125,181.05999755859375,65543
2020-05-29 12:18:00-04:00,181.07000732421875,181.18389892578125,181.02999877929688,181.0399932861328,29281
2020-05-29 12:19:00-04:00,181.07000732421875,181.1199951171875,180.9801025390625,181.05999755859375,35102
2020-05-29 12:20:00-04:00,181.07000732421875,181.07000732421875,180.92999267578125,181.01559448242188,37113
2020-05-29 12:21:00-04:00,181.02999877929688,181.1300048828125,181.02000427246094,181.0800018310547,47467
2020-05-29 12:22:00-04:00,181.08999633789062,181.1699981689453,181.0800018310547,181.14999389648438,34766
2020-05-29 12:23:00-04:00,181.1699981689453,181.1739044189453,181.1219940185547,181.1300048828125,61675
2020-05-29 12:24:00-04:00,181.12399291992188,181.14999389648438,181.05499267578125,181.11500549316406,20616
2020-05-29 12:25:00-04:00,181.11000061035156,181.19000244140625,181.00999450683594,181.19000244140625,27115
2020-05-29 12:26:00-04:00,181.2100067138672,181.2100067138672,181.1199951171875,181.1649932861328,23091
2020-05-29 12:27:00-04:00,181.1649932861328,181.25999450683594,181.16000366210938,181.22999572753906,28572
2020-05-29 12:28:00-04:00,181.25,181.27999877929688,181.19000244140625,181.25999450683594,20083
2020-05-29 12:29:00-04:00,181.26010131835938,181.44000244140625,181.26010131835938,181.38999938964844,43380
2020-05-29 12:30:00-04:00,181.36000061035156,181.4600067138672,181.2899932861328,181.38999938964844,39272
2020-05-29 12:31:00-04:00,181.38999938964844,181.41000366210938,181.22999572753906,181.24000549316406,27076
2020-05-29 12:32:00-04:00,181.25,181.38999938964844,181.17999267578125,181.35000610351562,36080
2020-05-29 12:33:00-04:00,181.33999633789062,181.33999633789062,181.22000122070312,181.31500244140625,28379
2020-05-29 12:34:00-04:00,181.30999755859375,181.3350067138672,181.27999877929688,181.27999877929688,13710
2020-05-29 12:35:00-04:00,181.27000427246094,181.3300018310547,181.2200927734375,181.31199645996094,20993
2020-05-29 12:36:00-04:00,181.3300018310547,181.35000610351562,181.1699981689453,181.27940368652344,31735
2020-05-29 12:37:00-04:00,181.3000030517578,181.40499877929688,181.25999450683594,181.40499877929688,22560
2020-05-29 12:38:00-04:00,181.41000366210938,181.5299072265625,181.36000061035156,181.5299072265625,70480
2020-05-29 12:39:00-04:00,181.52000427246094,181.5800018310547,181.49000549316406,181.5399932861328,33789
2020-05-29 12:40:00-04:00,181.5399932861328,181.5399932861328,181.4600067138672,181.50999450683594,39110
2020-05-29 12:41:00-04:00,181.51499938964844,181.64999389648438,181.50999450683594,181.64999389648438,43127
2020-05-29 12:42:00-04:00,181.6555938720703,181.77999877929688,181.64999389648438,181.71499633789062,31752
2020-05-29 12:43:00-04:00,181.7100067138672,181.74000549316406,181.69000244140625,181.7100067138672,19971
2020-05-29 12:44:00-04:00,181.7100067138672,181.7100067138672,181.5399932861328,181.66000366210938,37982
2020-05-29 12:45:00-04:00,181.6300048828125,181.6999969482422,181.41000366210938,181.41220092773438,43089
2020-05-29 12:46:00-04:00,181.41000366210938,181.41000366210938,181.23150634765625,181.25999450683594,47294
2020-05-29 12:47:00-04:00,181.25,181.41000366210938,181.25,181.34500122070312,35954
2020-05-29 12:48:00-04:00,181.33999633789062,181.45620727539062,181.30499267578125,181.3699951171875,20785
2020-05-29 12:49:00-04:00,181.3800048828125,181.42999267578125,181.32000732421875,181.32000732421875,21460
