,Unnamed: 0,Unnamed: 0.1,Datetime,Open,High,Low,Close,Volume,ma,moving average 5,moving average 10,moving average 20
1286,1286,1286,2020-05-28 09:21:00-04:00,179.6499,179.6499,179.6499,179.6499,0,179.435,179.582,-0.2119000000000142,179.146
1287,1287,1287,2020-05-28 09:22:00-04:00,179.5006,179.64,179.5,179.6,0,179.496,179.572,-0.132000000000005,179.186
1288,1288,1288,2020-05-28 09:23:00-04:00,179.55,179.56,179.45,179.45,0,179.522,179.558,0.01500000000001478,179.226
1289,1289,1289,2020-05-28 09:24:00-04:00,179.32,179.6,179.3,179.3,0,179.526,179.518,0.1349999999999909,179.239
1290,1290,1290,2020-05-28 09:25:00-04:00,179.31,179.31,179.3,179.3,0,179.516,179.46,0.10999999999998522,179.256
1291,1291,1291,2020-05-28 09:26:00-04:00,179.3002,179.38,179.2,179.38,0,179.494,179.406,0.025000000000005684,179.286
1292,1292,1292,2020-05-28 09:27:00-04:00,179.38,179.45,179.35,179.45,0,179.474,179.376,-0.03699999999997772,179.309
1293,1293,1293,2020-05-28 09:28:00-04:00,179.31,179.4,179.25,179.4,0,179.462,179.366,0.01099999999999568,179.333
1294,1294,1294,2020-05-28 09:30:00-04:00,180.7400054931641,181.47999572753903,180.6199951171875,181.19000244140625,1022505,179.631,179.744,-1.4560024414062411,179.451
1295,1295,1295,2020-05-28 09:31:00-04:00,181.16259765625,181.4900054931641,180.9199981689453,181.05999755859366,172103,179.778,180.096,-1.0849975585936704,179.574
1296,1296,1296,2020-05-28 09:32:00-04:00,181.0200042724609,181.25,180.9199981689453,181.10659790039062,118818,179.924,180.441,-0.9255979003906134,179.679
1297,1297,1297,2020-05-28 09:33:00-04:00,181.1100006103516,181.27999877929688,180.83999633789062,180.9600067138672,111809,180.06,180.743,-0.63700671386718,179.778
1298,1298,1298,2020-05-28 09:34:00-04:00,180.92999267578125,180.97999572753903,180.5200042724609,180.8733062744141,142150,180.202,181.038,-0.4503062744140891,179.862
1299,1299,1299,2020-05-28 09:35:00-04:00,180.8600006103516,181.21539306640625,180.83009338378903,181.2093963623047,112890,180.393,181.042,-0.643396362304685,179.959
