 ,Datetime,Open,High,Low,Close,Volume
1994,2020-06-01 09:46:00-04:00,182.19000244140625,182.25,181.91000366210938,181.9499969482422,101064
1995,2020-06-01 09:47:00-04:00,181.9600067138672,182.0249938964844,181.80499267578125,181.83999633789062,113153
1996,2020-06-01 09:48:00-04:00,181.80999755859372,182.16000366210938,181.76499938964844,182.12969970703125,82015
1997,2020-06-01 09:49:00-04:00,182.125,182.3500061035156,182.0800018310547,182.13499450683597,92343
1998,2020-06-01 09:50:00-04:00,182.13999938964844,182.17999267578125,181.9900054931641,182.02999877929688,94616
1999,2020-06-01 09:51:00-04:00,182.02999877929688,182.17999267578125,182.0,182.15499877929688,82348
2000,2020-06-01 09:52:00-04:00,182.17999267578125,182.3699951171875,182.16000366210938,182.27999877929688,82533
2001,2020-06-01 09:53:00-04:00,182.2700042724609,182.38999938964844,182.1999969482422,182.30499267578125,79530
2002,2020-06-01 09:54:00-04:00,182.30999755859372,182.52999877929688,182.3000030517578,182.4900054931641,89050
2003,2020-06-01 09:55:00-04:00,182.4600067138672,182.66000366210938,182.45050048828125,182.57080078125,90675
2004,2020-06-01 09:56:00-04:00,182.5574951171875,182.7899932861328,182.5010070800781,182.75999450683597,62874
2005,2020-06-01 09:57:00-04:00,182.7400054931641,182.77999877929688,182.5500030517578,182.60499572753903,88631
2006,2020-06-01 09:58:00-04:00,182.60450744628903,182.7400054931641,182.60450744628903,182.67999267578125,51834
2007,2020-06-01 09:59:00-04:00,182.42999267578125,182.67999267578125,182.4199981689453,182.4499969482422,89964
2008,2020-06-01 10:00:00-04:00,182.5,182.56500244140625,182.25,182.4600067138672,94195
2009,2020-06-01 10:01:00-04:00,182.4900054931641,182.5800018310547,182.47000122070312,182.5200042724609,51828
2010,2020-06-01 10:02:00-04:00,182.5500030517578,182.82000732421875,182.44000244140625,182.5,122824
2011,2020-06-01 10:03:00-04:00,182.5200958251953,182.6100006103516,182.35009765625,182.42999267578125,101890
2012,2020-06-01 10:04:00-04:00,182.42999267578125,182.67999267578125,182.38999938964844,182.6450042724609,66670
2013,2020-06-01 10:05:00-04:00,182.6699981689453,182.75,182.5500030517578,182.6100006103516,137554
2014,2020-06-01 10:06:00-04:00,182.6499938964844,182.9199981689453,182.6499938964844,182.69400024414062,94465
2015,2020-06-01 10:07:00-04:00,182.69000244140625,182.7400054931641,182.5800018310547,182.67999267578125,47779
2016,2020-06-01 10:08:00-04:00,182.6750030517578,182.67999267578125,182.5299072265625,182.56700134277344,53724
2017,2020-06-01 10:09:00-04:00,182.55999755859372,182.67999267578125,182.5507049560547,182.58999633789062,53429
2018,2020-06-01 10:10:00-04:00,182.59100341796875,182.60980224609372,182.47999572753903,182.6024932861328,81810
2019,2020-06-01 10:11:00-04:00,182.6000061035156,182.8000030517578,182.5500030517578,182.6199951171875,97261
2020,2020-06-01 10:12:00-04:00,182.6499938964844,182.77999877929688,182.5399932861328,182.63999938964844,62892
2021,2020-06-01 10:13:00-04:00,182.63999938964844,182.63999938964844,182.3500061035156,182.4199981689453,62248
2022,2020-06-01 10:14:00-04:00,182.4199981689453,182.57000732421875,182.3999938964844,182.47999572753903,71437
2023,2020-06-01 10:15:00-04:00,182.4900054931641,182.5,182.33999633789062,182.33999633789062,47958
2024,2020-06-01 10:16:00-04:00,182.3500061035156,182.5200042724609,182.32000732421875,182.42999267578125,91636
2025,2020-06-01 10:17:00-04:00,182.4438018798828,182.5399932861328,182.3999938964844,182.47999572753903,89719
2026,2020-06-01 10:18:00-04:00,182.47999572753903,182.5500030517578,182.3800048828125,182.5500030517578,121655
2027,2020-06-01 10:19:00-04:00,182.5500030517578,182.6699981689453,182.41000366210938,182.4199981689453,75890
2028,2020-06-01 10:20:00-04:00,182.42999267578125,182.47999572753903,182.3000030517578,182.3999938964844,71450
2029,2020-06-01 10:21:00-04:00,182.3999938964844,182.44000244140625,182.2749938964844,182.27999877929688,44077
2030,2020-06-01 10:22:00-04:00,182.27999877929688,182.2899932861328,182.13999938964844,182.1999969482422,101535
2031,2020-06-01 10:23:00-04:00,182.2100067138672,182.27999877929688,182.0399932861328,182.1000061035156,71459
2032,2020-06-01 10:24:00-04:00,182.1300048828125,182.1699981689453,182.05999755859372,182.10899353027344,57781
2033,2020-06-01 10:25:00-04:00,182.1000061035156,182.3300018310547,182.0800018310547,182.17999267578125,96278
2034,2020-06-01 10:26:00-04:00,182.16000366210938,182.22000122070312,181.97000122070312,182.2174072265625,149466
2035,2020-06-01 10:27:00-04:00,182.19679260253903,182.20989990234372,182.07000732421875,182.13999938964844,50736
2036,2020-06-01 10:28:00-04:00,182.13999938964844,182.2100067138672,182.0500030517578,182.07000732421875,58519
2037,2020-06-01 10:29:00-04:00,182.07000732421875,182.22999572753903,182.07000732421875,182.1199951171875,43502
2038,2020-06-01 10:30:00-04:00,182.1499938964844,182.2400054931641,182.1100006103516,182.16000366210938,32037
2039,2020-06-01 10:31:00-04:00,182.1699981689453,182.17999267578125,182.0500030517578,182.05999755859372,91579
2040,2020-06-01 10:32:00-04:00,182.05999755859372,182.22999572753903,182.0500030517578,182.1649932861328,68309
